New,Old,Games,W,D,L,Win Rate,Elo Difference
simple_psqt,material,244,46,195,3,58.8%,+62
pesto_psqt,simple_psqt,94,12,73,9,51.6%,+11
pesto_psqt,simple_psqt,13,5,6,2,61.5%,+82
tapered_eval,pesto_psqt,9,4,5,0,72.2%,+166
tapered_eval,pesto_psqt,12,3,7,2,54.2%,+29
tapered_eval,pesto_psqt,149,66,65,18,66.1%,+116
mobility,tapered_eval,952,302,426,224,54.1%,+29
network,material,366,2,3,361,1.0%,-798
network,material,32,0,0,32,0.0%,-798
hce_simple,mobility,494,135,205,154,48.1%,-13
hce,mobility,2934,340,2144,450,48.1%,-13
hce_simple,mobility,2674,489,1790,395,51.8%,+12
hce_simple,hce,7017,1294,4601,1122,51.2%,+9
